id,name
MakeupCartridgeAbsent,MakeupCartridgeAbsent
MakeupCartridgeEmpty,MakeupCartridgeEmpty
Machine Status Changed,Machine Status Changed
Machine Status Changed by,Machine Status Changed by
No good shutter,No good shutter
Proxy1 Up,Proxy1 Up
Proxy1 System Startup,Proxy1 System Startup
Printhead 1 Drop Velocity Too Low,Printhead 1 Drop Velocity Too Low
Head1OverlapsPrintContinue,Head1OverlapsPrintContinue
Print Control Jet Start,Print Control Jet Start
System Startup,System Startup
Printer Online,Printer Online
Job is Edited,Job is Edited
InkSystemHumidityStatus,InkSystemHumidityStatus
Printhead 1 Too Many Holes in Phase Profile,Printhead 1 Too Many Holes in Phase Profile
FilterDamperReplacementDueSoon,FilterDamperReplacementDueSoon
User Logout,User Logout
Head1TooManyHolesInPhase,Head1TooManyHolesInPhase
Head1ProductDelayTooShort,Head1ProductDelayTooShort
User Login,User Login
Head1BuildUpExpired,Head1BuildUpExpired
MakeupTankLevelLow,MakeupTankLevelLow
Printer Shutdown,Printer Shutdown
Proxy2 Up,Proxy2 Up
Proxy1 Down,Proxy1 Down
AirFilterReplacementRecommended,AirFilterReplacementRecommended
Head1MicroReceiveTimeout,Head1MicroReceiveTimeout
Proxy2 System Shutdown,Proxy2 System Shutdown
Availability Proxy2 Event,Availability Proxy2 Event
Proxy2 Down,Proxy2 Down
Head1ShockLevelStatus,Head1ShockLevelStatus
Print Control Jet Stop,Print Control Jet Stop
Too many bad pixels,Too many bad pixels
Head1Overspeed,Head1Overspeed
Head1NoTimeToPhase,Head1NoTimeToPhase
Head1TemperatureTooLow,Head1TemperatureTooLow
InkViscosityTooLow,InkViscosityTooLow
