thingId,relationshipname,entityid,prop
OFF,IS_OF_EVENT_TYPE,WARNING,{}
ON,IS_OF_EVENT_TYPE,WARNING,{}
NA,IS_OF_EVENT_TYPE,NA,{}
EPHEMERAL,IS_OF_EVENT_TYPE,PARAM_CHANGED,{}
EPHEMERAL,IS_OF_EVENT_TYPE,INFO,{}
OFF,IS_OF_EVENT_TYPE,INFO,{}
EPHEMERAL,IS_OF_EVENT_TYPE,ENABLE,{}
ON,IS_OF_EVENT_TYPE,INFO,{}
OFF,IS_OF_EVENT_TYPE,FAULT,{}
ON,IS_OF_EVENT_TYPE,FAULT,{}
OFF,IS_OF_EVENT_TYPE,MAINTENANCE,{}
ON,IS_OF_EVENT_TYPE,MAINTENANCE,{}
WARNING,IS_OF_EVENT_NAME,MakeupCartridgeAbsent,{}
WARNING,IS_OF_EVENT_NAME,MakeupCartridgeEmpty,{}
NA,IS_OF_EVENT_NAME,NA,{}
PARAM_CHANGED,IS_OF_EVENT_NAME,Machine Status Changed,{}
INFO,IS_OF_EVENT_NAME,Machine Status Changed by,{}
INFO,IS_OF_EVENT_NAME,No good shutter,{}
INFO,IS_OF_EVENT_NAME,Proxy1 Up,{}
INFO,IS_OF_EVENT_NAME,Proxy1 System Startup,{}
INFO,IS_OF_EVENT_NAME,Printhead 1 Drop Velocity Too Low,{}
WARNING,IS_OF_EVENT_NAME,Head1OverlapsPrintContinue,{}
ENABLE,IS_OF_EVENT_NAME,Print Control Jet Start,{}
INFO,IS_OF_EVENT_NAME,System Startup,{}
INFO,IS_OF_EVENT_NAME,Printer Online,{}
INFO,IS_OF_EVENT_NAME,Job is Edited,{}
WARNING,IS_OF_EVENT_NAME,InkSystemHumidityStatus,{}
INFO,IS_OF_EVENT_NAME,Printhead 1 Too Many Holes in Phase Profile,{}
FAULT,IS_OF_EVENT_NAME,FilterDamperReplacementDueSoon,{}
INFO,IS_OF_EVENT_NAME,User Logout,{}
WARNING,IS_OF_EVENT_NAME,Head1TooManyHolesInPhase,{}
WARNING,IS_OF_EVENT_NAME,Head1ProductDelayTooShort,{}
INFO,IS_OF_EVENT_NAME,User Login,{}
WARNING,IS_OF_EVENT_NAME,Head1BuildUpExpired,{}
WARNING,IS_OF_EVENT_NAME,MakeupTankLevelLow,{}
INFO,IS_OF_EVENT_NAME,Printer Shutdown,{}
INFO,IS_OF_EVENT_NAME,Proxy2 Up,{}
INFO,IS_OF_EVENT_NAME,Proxy1 Down,{}
MAINTENANCE,IS_OF_EVENT_NAME,AirFilterReplacementRecommended,{}
FAULT,IS_OF_EVENT_NAME,Head1MicroReceiveTimeout,{}
INFO,IS_OF_EVENT_NAME,Proxy2 System Shutdown,{}
INFO,IS_OF_EVENT_NAME,Availability Proxy2 Event,{}
INFO,IS_OF_EVENT_NAME,Proxy2 Down,{}
WARNING,IS_OF_EVENT_NAME,Head1ShockLevelStatus,{}
ENABLE,IS_OF_EVENT_NAME,Print Control Jet Stop,{}
INFO,IS_OF_EVENT_NAME,Too many bad pixels,{}
WARNING,IS_OF_EVENT_NAME,Head1Overspeed,{}
WARNING,IS_OF_EVENT_NAME,Head1NoTimeToPhase,{}
WARNING,IS_OF_EVENT_NAME,Head1TemperatureTooLow,{}
WARNING,IS_OF_EVENT_NAME,InkViscosityTooLow,{}
MakeupCartridgeAbsent,IS_FROM_#SERIAL,17341001C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
MakeupCartridgeEmpty,IS_FROM_#SERIAL,17341001C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17341002C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed,IS_FROM_#SERIAL,17341003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed by,IS_FROM_#SERIAL,17341003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
No good shutter,IS_FROM_#SERIAL,17341003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
MakeupCartridgeAbsent,IS_FROM_#SERIAL,17341004C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed,IS_FROM_#SERIAL,17341004C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
